Season,Team,G,Date,Home,Opp,W/L,Tm_Pts,Opp_Pts,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Total,Spread
2015,BRK,17,2014-12-03,1,SAS,W,95,93,37,90,0.411,9,19,0.474,12,18,0.667,9,54,20,2,2,10,10,36,101,0.356,12,32,0.375,9,12,0.75,18,58,23,5,6,8,19,188,2
2015,BRK,18,2014-12-05,1,ATL,L,75,98,30,80,0.375,3,18,0.167,12,19,0.632,9,51,16,4,2,19,21,35,81,0.432,13,34,0.382,15,24,0.625,6,46,22,12,4,11,22,173,-23
2015,BRK,19,2014-12-08,1,CLE,L,88,110,36,81,0.444,4,19,0.211,12,19,0.632,10,33,25,6,2,12,18,43,90,0.478,9,25,0.36,15,22,0.682,20,55,25,10,5,14,17,198,-22
2015,BRK,20,2014-12-10,0,CHI,L,80,105,29,88,0.33,3,14,0.214,19,24,0.792,15,44,16,9,5,11,25,37,79,0.468,8,22,0.364,23,32,0.719,15,57,21,6,11,16,18,185,-25
2015,BRK,21,2014-12-12,1,PHI,W,88,70,36,81,0.444,5,20,0.25,11,17,0.647,13,47,25,16,5,17,15,22,69,0.319,11,28,0.393,15,20,0.75,10,37,18,10,4,24,20,158,18
2015,BRK,22,2014-12-13,0,CHO,W,114,87,42,72,0.583,16,23,0.696,14,20,0.7,4,43,29,4,4,14,24,31,79,0.392,8,22,0.364,17,27,0.63,9,34,16,3,4,6,19,201,27
2015,BRK,23,2014-12-16,1,MIA,L,91,95,30,77,0.39,8,28,0.286,23,32,0.719,11,37,25,9,2,17,26,33,72,0.458,9,24,0.375,20,26,0.769,7,41,20,9,2,18,23,186,-4
2015,BRK,24,2014-12-17,0,TOR,L,89,105,35,81,0.432,9,27,0.333,10,22,0.455,14,43,20,3,8,15,16,41,80,0.513,10,20,0.5,13,19,0.684,11,42,24,6,4,12,21,194,-16
2015,BRK,25,2014-12-19,0,CLE,L,91,95,37,78,0.474,9,24,0.375,8,12,0.667,4,37,23,8,8,16,26,31,77,0.403,9,24,0.375,24,29,0.828,11,44,22,7,4,16,16,186,-4
2015,BRK,26,2014-12-21,1,DET,W,110,105,40,76,0.526,8,20,0.4,22,29,0.759,3,37,29,9,4,15,18,40,91,0.44,9,27,0.333,16,26,0.615,18,50,26,10,6,14,22,215,5
